SweepParam,TxD,TxW,TxG,RxH,RxA,TxT,RxT,RxW,Rx_Voltage
TxD,10,3,3,30,-10,0.2,0.2,3,0.428121
TxW,20,1,3,30,-10,0.2,0.2,3,0.408957
TxG,20,3,1,30,-10,0.2,0.2,3,0.407286
RxH,20,3,3,10,-10,0.2,0.2,3,0.318488
RxA,20,3,3,30,-5,0.2,0.2,3,0.316195
RxW,20,3,3,30,-10,0.2,0.2,5,0.417999
