SweepParam,TxD,TxW,TxG,RxH,TxT,RxT,RxW,Rx_Voltage
TxD,10,3,3,30,0.2,0.2,3,0.131287
TxD,15,3,3,30,0.2,0.2,3,0.160933
TxD,20,3,3,30,0.2,0.2,3,0.184776
TxD,25,3,3,30,0.2,0.2,3,0.207403
TxD,30,3,3,30,0.2,0.2,3,0.226252
TxD,35,3,3,30,0.2,0.2,3,0.247092
TxD,40,3,3,30,0.2,0.2,3,0.267120
TxW,20,1,3,30,0.2,0.2,3,0.191566
TxW,20,2,3,30,0.2,0.2,3,0.187933
TxW,20,3,3,30,0.2,0.2,3,0.184776
TxW,20,4,3,30,0.2,0.2,3,0.184058
TxW,20,5,3,30,0.2,0.2,3,0.182521
TxW,20,6,3,30,0.2,0.2,3,0.181286
TxW,20,7,3,30,0.2,0.2,3,0.181649
TxW,20,8,3,30,0.2,0.2,3,0.182828
TxW,20,9,3,30,0.2,0.2,3,0.183159
TxW,20,10,3,30,0.2,0.2,3,0.185789
RxH,20,3,3,10,0.2,0.2,3,0.062909
RxH,20,3,3,20,0.2,0.2,3,0.126603
RxH,20,3,3,30,0.2,0.2,3,0.184776
RxH,20,3,3,40,0.2,0.2,3,0.238280
RxH,20,3,3,50,0.2,0.2,3,0.285549
RxW,20,3,3,30,0.2,0.2,5,0.187689
RxW,20,3,3,30,0.2,0.2,10,0.190387
RxW,20,3,3,30,0.2,0.2,15,0.196928
RxW,20,3,3,30,0.2,0.2,20,0.204449
RxW,20,3,3,30,0.2,0.2,25,0.211142
RxW,20,3,3,30,0.2,0.2,30,0.216455
TxG,20,3,1,30,0.2,0.2,3,0.187494
TxG,20,3,2,30,0.2,0.2,3,0.186095
TxG,20,3,3,30,0.2,0.2,3,0.184776
TxG,20,3,4,30,0.2,0.2,3,0.184954
TxG,20,3,5,30,0.2,0.2,3,0.184228
TxG,20,3,6,30,0.2,0.2,3,0.183758
TxG,20,3,7,30,0.2,0.2,3,0.182701
TxG,20,3,8,30,0.2,0.2,3,0.182902
TxG,20,3,9,30,0.2,0.2,3,0.182742
TxG,20,3,10,30,0.2,0.2,3,0.183233
